"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"S_VLDL_FC","Free Cholesterol in Small VLDL","BC_postmeno","1.01(95% CI:0.875-1.166; P=0.8916104421)","1.044(95% CI:1.018-1.07; P=0.0007218519)","1.035(95% CI:0.885-1.211; P=0.6684647903)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_VLDL_PL","Phospholipids in Small VLDL","BC_postmeno","1.039(95% CI:0.899-1.2; P=0.6049958914)","1.054(95% CI:1.028-1.081; P=0.0000312178)","1.076(95% CI:0.92-1.258; P=0.3610815384)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_VLDL_TG","Triglycerides in Small VLDL","BC_postmeno","1.121(95% CI:0.98-1.283; P=0.0960788606)","1.069(95% CI:1.043-1.095; P=0.0000001062)","1.191(95% CI:1.029-1.379; P=0.0191240097)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"SFA","Saturated Fatty Acids","BC_postmeno","1.128(95% CI:0.967-1.316; P=0.1254837023)","1.085(95% CI:1.058-1.113; P=0.0000000004)","1.168(95% CI:0.997-1.368; P=0.0547430911)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Sphingomyelins","Sphingomyelins","BC_postmeno","0.97(95% CI:0.835-1.127; P=0.6916505937)","1.017(95% CI:0.992-1.043; P=0.1919454879)","0.94(95% CI:0.801-1.104; P=0.4523390515)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_C","Total Cholesterol","BC_postmeno","0.981(95% CI:0.844-1.142; P=0.807871459)","1.02(95% CI:0.995-1.046; P=0.1237481073)","0.975(95% CI:0.831-1.144; P=0.7573982239)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_CE","Total Esterified Cholesterol","BC_postmeno","0.976(95% CI:0.84-1.134; P=0.7511732901)","1.017(95% CI:0.991-1.043; P=0.2006055628)","0.967(95% CI:0.824-1.133; P=0.6750225948)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_FA","Total Fatty Acids","BC_postmeno","1.099(95% CI:0.936-1.29; P=0.249465126)","1.077(95% CI:1.05-1.106; P=0.0000000205)","1.145(95% CI:0.971-1.349; P=0.1068885402)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_FC","Total Free Cholesterol","BC_postmeno","0.99(95% CI:0.851-1.152; P=0.89818457)","1.028(95% CI:1.002-1.054; P=0.0313892562)","0.993(95% CI:0.846-1.166; P=0.9318692777)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_L","Total Lipids in Lipoprotein Particles","BC_postmeno","1.037(95% CI:0.884-1.216; P=0.6541055888)","1.048(95% CI:1.022-1.076; P=0.0003499893)","1.061(95% CI:0.899-1.251; P=0.4857951301)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_PL","Total Phospholipids in Lipoprotein Particles","BC_postmeno","1.018(95% CI:0.867-1.194; P=0.8310592481)","1.034(95% CI:1.008-1.061; P=0.0109396037)","1.029(95% CI:0.872-1.214; P=0.7354674549)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_TG","Total Triglycerides","BC_postmeno","1.142(95% CI:0.994-1.312; P=0.0614473541)","1.077(95% CI:1.05-1.104; P=0.0000000046)","1.213(95% CI:1.043-1.41; P=0.0123618071)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Tyr","Tyrosine","BC_postmeno","1.092(95% CI:0.955-1.25; P=0.199387733)","1.034(95% CI:1.009-1.06; P=0.0072693243)","1.116(95% CI:0.961-1.296; P=0.1487776251)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Unsaturation","Degree of Unsaturation","BC_postmeno","0.879(95% CI:0.77-1.002; P=0.0542352782)","0.948(95% CI:0.925-0.972; P=0.0000207553)","0.832(95% CI:0.716-0.968; P=0.0170982816)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Val","Valine","BC_postmeno","1.094(95% CI:0.958-1.25; P=0.1849111291)","1.065(95% CI:1.04-1.092; P=0.0000003324)","1.131(95% CI:0.976-1.311; P=0.1013918724)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"VLDL_C","VLDL Cholesterol","BC_postmeno","1.048(95% CI:0.904-1.216; P=0.532054178)","1.056(95% CI:1.029-1.082; P=0.0000269496)","1.09(95% CI:0.928-1.279; P=0.2932741948)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"VLDL_CE","Cholesteryl Esters in VLDL","BC_postmeno","1.029(95% CI:0.889-1.192; P=0.7011637637)","1.048(95% CI:1.022-1.074; P=0.0002775961)","1.062(95% CI:0.906-1.244; P=0.4613241071)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"VLDL_FC","Free Cholesterol in VLDL","BC_postmeno","1.073(95% CI:0.929-1.239; P=0.3368874033)","1.063(95% CI:1.037-1.09; P=0.0000015248)","1.127(95% CI:0.964-1.317; P=0.1336878131)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"VLDL_L","Total Lipids in VLDL","BC_postmeno","1.109(95% CI:0.957-1.285; P=0.1675393217)","1.073(95% CI:1.046-1.101; P=0.000000049)","1.174(95% CI:1.001-1.377; P=0.0480432064)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"VLDL_PL","Phospholipids in VLDL","BC_postmeno","1.091(95% CI:0.945-1.26; P=0.2367815507)","1.066(95% CI:1.04-1.093; P=0.0000004448)","1.148(95% CI:0.982-1.342; P=0.0828651638)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"VLDL_TG","Triglycerides in VLDL","BC_postmeno","1.141(95% CI:0.997-1.306; P=0.0562079884)","1.073(95% CI:1.047-1.1; P=0.0000000158)","1.219(95% CI:1.05-1.415; P=0.009212802)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_HDL_C","Cholesterol in Very Large HDL","BC_postmeno","0.912(95% CI:0.794-1.048; P=0.1924377726)","0.948(95% CI:0.925-0.973; P=0.0000387987)","0.835(95% CI:0.709-0.984; P=0.0309163943)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_HDL_CE","Cholesteryl Esters in Very Large HDL","BC_postmeno","0.909(95% CI:0.791-1.045; P=0.1795983621)","0.947(95% CI:0.924-0.972; P=0.0000264624)","0.832(95% CI:0.706-0.981; P=0.0281679511)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_HDL_FC","Free Cholesterol in Very Large HDL","BC_postmeno","0.925(95% CI:0.805-1.063; P=0.2695100592)","0.955(95% CI:0.931-0.979; P=0.0003086332)","0.851(95% CI:0.724-1.001; P=0.0520642504)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_HDL_PL","Phospholipids in Very Large HDL","BC_postmeno","0.919(95% CI:0.798-1.057; P=0.2355471056)","0.949(95% CI:0.925-0.973; P=0.0000508377)","0.845(95% CI:0.717-0.997; P=0.0454220505)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_HDL_TG","Triglycerides in Very Large HDL","BC_postmeno","1.073(95% CI:0.927-1.242; P=0.3420313585)","1.035(95% CI:1.01-1.061; P=0.0060382717)","1.094(95% CI:0.942-1.271; P=0.2408612024)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_VLDL_C","Cholesterol in Very Large VLDL","BC_postmeno","1.112(95% CI:0.973-1.272; P=0.119104818)","1.064(95% CI:1.038-1.09; P=0.0000006579)","1.182(95% CI:1.02-1.371; P=0.0262586872)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_VLDL_CE","Cholesteryl Esters in Very Large VLDL","BC_postmeno","1.095(95% CI:0.955-1.255; P=0.1929784092)","1.06(95% CI:1.034-1.086; P=0.0000037699)","1.159(95% CI:0.997-1.348; P=0.0551075666)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_VLDL_FC","Free Cholesterol in Very Large VLDL","BC_postmeno","1.124(95% CI:0.989-1.279; P=0.0739029126)","1.066(95% CI:1.04-1.091; P=0.0000002219)","1.197(95% CI:1.039-1.378; P=0.0126158519)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_VLDL_PL","Phospholipids in Very Large VLDL","BC_postmeno","1.131(95% CI:0.997-1.285; P=0.0566052748)","1.066(95% CI:1.041-1.092; P=0.0000001514)","1.203(95% CI:1.047-1.383; P=0.0091293658)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XL_VLDL_TG","Triglycerides in Very Large VLDL","BC_postmeno","1.143(95% CI:1.01-1.294; P=0.034124102)","1.069(95% CI:1.044-1.094; P=0.0000000431)","1.219(95% CI:1.064-1.397; P=0.0044227505)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XS_VLDL_C","Cholesterol in Very Small VLDL","BC_postmeno","0.984(95% CI:0.849-1.141; P=0.8311561461)","1.029(95% CI:1.004-1.055; P=0.0227619098)","0.984(95% CI:0.84-1.153; P=0.8429684819)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XS_VLDL_CE","Cholesteryl Esters in Very Small VLDL","BC_postmeno","0.972(95% CI:0.84-1.125; P=0.7074225992)","1.022(95% CI:0.997-1.048; P=0.0815958762)","0.966(95% CI:0.825-1.131; P=0.6671495061)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XS_VLDL_FC","Free Cholesterol in Very Small VLDL","BC_postmeno","1.01(95% CI:0.87-1.172; P=0.900310751)","1.045(95% CI:1.019-1.071; P=0.0005654802)","1.023(95% CI:0.874-1.199; P=0.7741845617)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XS_VLDL_PL","Phospholipids in Very Small VLDL","BC_postmeno","1.039(95% CI:0.895-1.206; P=0.6177697116)","1.05(95% CI:1.024-1.077; P=0.0001101952)","1.06(95% CI:0.907-1.24; P=0.4633488021)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XS_VLDL_TG","Triglycerides in Very Small VLDL","BC_postmeno","1.1(95% CI:0.956-1.267; P=0.1844881397)","1.069(95% CI:1.043-1.095; P=0.0000000792)","1.143(95% CI:0.987-1.323; P=0.0742848801)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XXL_VLDL_C","Cholesterol in Chylomicrons and Extremely Large VLDL","BC_postmeno","1.131(95% CI:1.001-1.278; P=0.0487829005)","1.065(95% CI:1.041-1.091; P=0.000000142)","1.204(95% CI:1.052-1.379; P=0.0069580915)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XXL_VLDL_CE","Cholesteryl Esters in Chylomicrons and Extremely Large VLDL","BC_postmeno","1.135(95% CI:1.003-1.284; P=0.044955857)","1.064(95% CI:1.039-1.089; P=0.0000002919)","1.208(95% CI:1.054-1.384; P=0.0067333788)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XXL_VLDL_FC","Free Cholesterol in Chylomicrons and Extremely Large VLDL","BC_postmeno","1.119(95% CI:0.993-1.261; P=0.0655786685)","1.065(95% CI:1.04-1.09; P=0.0000001273)","1.19(95% CI:1.044-1.357; P=0.0091951865)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XXL_VLDL_PL","Phospholipids in Chylomicrons and Extremely Large VLDL","BC_postmeno","1.122(95% CI:0.998-1.261; P=0.0543998037)","1.063(95% CI:1.038-1.088; P=0.0000003005)","1.189(95% CI:1.046-1.352; P=0.0081190322)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"XXL_VLDL_TG","Triglycerides in Chylomicrons and Extremely Large VLDL","BC_postmeno","1.148(95% CI:1.022-1.29; P=0.0198333591)","1.062(95% CI:1.037-1.087; P=0.0000004284)","1.207(95% CI:1.063-1.371; P=0.0036755468)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Acetate","Acetate","BC_premeno","0.895(95% CI:0.63-1.271; P=0.5340014656)","0.96(95% CI:0.9-1.024; P=0.2168697134)","0.752(95% CI:0.44-1.285; P=0.2972215478)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Acetoacetate","Acetoacetate","BC_premeno","0.992(95% CI:0.793-1.241; P=0.9455945831)","1.001(95% CI:0.958-1.046; P=0.9647338417)","1.03(95% CI:0.789-1.344; P=0.8304627967)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Acetone","Acetone","BC_premeno","0.934(95% CI:0.735-1.187; P=0.5775342411)","0.992(95% CI:0.949-1.038; P=0.7381602644)","0.981(95% CI:0.744-1.293; P=0.8924113211)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Ala","Alanine","BC_premeno","0.819(95% CI:0.656-1.024; P=0.0795358954)","0.993(95% CI:0.952-1.037; P=0.7594992555)","0.914(95% CI:0.692-1.205; P=0.5227033903)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Albumin","Albumin","BC_premeno","0.939(95% CI:0.755-1.169; P=0.5750560403)","0.97(95% CI:0.929-1.013; P=0.1684232015)","1.049(95% CI:0.799-1.378; P=0.7292518506)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"ApoA1","Apolipoprotein A1","BC_premeno","1.043(95% CI:0.843-1.29; P=0.698986884)","0.991(95% CI:0.949-1.034; P=0.6672706087)","1.178(95% CI:0.903-1.537; P=0.2282926887)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"ApoB","Apolipoprotein B","BC_premeno","0.9(95% CI:0.706-1.146; P=0.391733624)","0.929(95% CI:0.887-0.974; P=0.0022265538)","0.973(95% CI:0.731-1.294; P=0.8501346176)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"bOHbutyrate","3-Hydroxybutyrate","BC_premeno","0.978(95% CI:0.789-1.212; P=0.8396438979)","1.014(95% CI:0.973-1.056; P=0.5062936935)","1.002(95% CI:0.773-1.298; P=0.9906957831)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Cholines","Total Cholines","BC_premeno","0.952(95% CI:0.757-1.197; P=0.672805559)","0.955(95% CI:0.914-0.998; P=0.0395115935)","1.085(95% CI:0.823-1.432; P=0.5615994152)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Citrate","Citrate","BC_premeno","1.005(95% CI:0.862-1.173; P=0.9463719214)","0.936(95% CI:0.894-0.98; P=0.0048752733)","1.026(95% CI:0.907-1.162; P=0.6797815487)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Clinical_LDL_C","Clinical LDL Cholesterol","BC_premeno","0.875(95% CI:0.691-1.107; P=0.264449924)","0.936(95% CI:0.894-0.98; P=0.0046472905)","0.996(95% CI:0.751-1.322; P=0.9797149395)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Creatinine","Creatinine","BC_premeno","0.932(95% CI:0.731-1.188; P=0.5690556187)","0.976(95% CI:0.929-1.027; P=0.3493668217)","0.932(95% CI:0.702-1.237; P=0.6243762625)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"DHA","Docosahexaenoic Acid","BC_premeno","0.847(95% CI:0.639-1.124; P=0.2500447862)","0.937(95% CI:0.89-0.986; P=0.0116339195)","0.981(95% CI:0.718-1.342; P=0.9066599381)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Gln","Glutamine","BC_premeno","0.969(95% CI:0.788-1.191; P=0.7636192144)","0.911(95% CI:0.874-0.95; P=0.0000132178)","1.21(95% CI:0.93-1.574; P=0.1553821416)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Glucose","Glucose","BC_premeno","0.904(95% CI:0.703-1.162; P=0.4310408372)","0.951(95% CI:0.908-0.995; P=0.0308065244)","0.829(95% CI:0.603-1.14; P=0.2484708419)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Gly","Glycine","BC_premeno","0.888(95% CI:0.71-1.11; P=0.2980130687)","0.986(95% CI:0.944-1.029; P=0.5049559263)","0.863(95% CI:0.648-1.15; P=0.3147913652)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"GlycA","Glycoprotein Acetyls","BC_premeno","0.964(95% CI:0.779-1.193; P=0.7370416478)","0.921(95% CI:0.882-0.963; P=0.0002538528)","0.842(95% CI:0.638-1.112; P=0.2265175269)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_C","HDL Cholesterol","BC_premeno","1.047(95% CI:0.843-1.301; P=0.6783723528)","1.012(95% CI:0.968-1.058; P=0.5960350855)","1.228(95% CI:0.936-1.612; P=0.1376097909)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_CE","Cholesteryl Esters in HDL","BC_premeno","1.041(95% CI:0.837-1.294; P=0.7206720407)","1.013(95% CI:0.969-1.059; P=0.5788370499)","1.219(95% CI:0.927-1.603; P=0.1560509376)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_FC","Free Cholesterol in HDL","BC_premeno","1.067(95% CI:0.86-1.325; P=0.5551270537)","1.008(95% CI:0.964-1.053; P=0.7390174761)","1.249(95% CI:0.961-1.624; P=0.096757129)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_L","Total Lipids in HDL","BC_premeno","1.064(95% CI:0.861-1.315; P=0.5666457989)","1.003(95% CI:0.961-1.048; P=0.8868086698)","1.219(95% CI:0.934-1.592; P=0.1454161381)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_PL","Phospholipids in HDL","BC_premeno","1.071(95% CI:0.868-1.322; P=0.5221484673)","1(95% CI:0.958-1.044; P=0.9900198094)","1.211(95% CI:0.929-1.578; P=0.1566997311)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_TG","Triglycerides in HDL","BC_premeno","1.04(95% CI:0.834-1.297; P=0.726813627)","0.956(95% CI:0.913-1.001; P=0.0573125157)","0.969(95% CI:0.725-1.294; P=0.8310755718)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"His","Histidine","BC_premeno","0.958(95% CI:0.774-1.185; P=0.6901298127)","0.997(95% CI:0.955-1.042; P=0.9012412105)","1.055(95% CI:0.808-1.378; P=0.694636361)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_C","Cholesterol in IDL","BC_premeno","0.909(95% CI:0.709-1.164; P=0.4483435948)","0.949(95% CI:0.905-0.996; P=0.0329339067)","1.1(95% CI:0.822-1.473; P=0.5204738823)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_CE","Cholesteryl Esters in IDL","BC_premeno","0.906(95% CI:0.707-1.161; P=0.4350246249)","0.952(95% CI:0.908-0.999; P=0.0437431868)","1.093(95% CI:0.816-1.463; P=0.5500391012)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_FC","Free Cholesterol in IDL","BC_premeno","0.917(95% CI:0.711-1.181; P=0.5004855259)","0.936(95% CI:0.891-0.983; P=0.0084222894)","1.104(95% CI:0.823-1.48; P=0.5093988049)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_PL","Phospholipids in IDL","BC_premeno","0.923(95% CI:0.718-1.187; P=0.532136531)","0.945(95% CI:0.9-0.992; P=0.0211568815)","1.071(95% CI:0.8-1.432; P=0.6460431536)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_TG","Triglycerides in IDL","BC_premeno","1.028(95% CI:0.815-1.297; P=0.8151852333)","0.959(95% CI:0.914-1.005; P=0.0781777405)","1.003(95% CI:0.751-1.34; P=0.9839258194)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Ile","Isoleucine","BC_premeno","0.852(95% CI:0.674-1.078; P=0.1815801459)","0.98(95% CI:0.937-1.025; P=0.3857408005)","0.89(95% CI:0.661-1.199; P=0.4442877686)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_C","Cholesterol in Large HDL","BC_premeno","1.101(95% CI:0.887-1.366; P=0.3833364832)","1.039(95% CI:0.994-1.087; P=0.0903017929)","1.292(95% CI:0.989-1.688; P=0.0598299297)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_CE","Cholesteryl Esters in Large HDL","BC_premeno","1.095(95% CI:0.882-1.359; P=0.4108570877)","1.039(95% CI:0.994-1.087; P=0.0907394352)","1.283(95% CI:0.982-1.675; P=0.0676062218)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_FC","Free Cholesterol in Large HDL","BC_premeno","1.114(95% CI:0.9-1.379; P=0.3226976307)","1.035(95% CI:0.989-1.082; P=0.1345032993)","1.302(95% CI:1.007-1.683; P=0.0441367394)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_PL","Phospholipids in Large HDL","BC_premeno","1.122(95% CI:0.908-1.386; P=0.2849735935)","1.034(95% CI:0.989-1.081; P=0.1393616788)","1.295(95% CI:0.996-1.684; P=0.0534310277)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_TG","Triglycerides in Large HDL","BC_premeno","1.117(95% CI:0.91-1.371; P=0.2897127069)","0.986(95% CI:0.943-1.031; P=0.5302877394)","1.119(95% CI:0.861-1.453; P=0.4004814919)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_C","Cholesterol in Large LDL","BC_premeno","0.865(95% CI:0.68-1.1; P=0.2368534883)","0.933(95% CI:0.891-0.978; P=0.003645949)","0.999(95% CI:0.75-1.331; P=0.9956491795)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_CE","Cholesteryl Esters in Large LDL","BC_premeno","0.862(95% CI:0.677-1.097; P=0.2265299956)","0.93(95% CI:0.888-0.975; P=0.0023687201)","0.983(95% CI:0.738-1.31; P=0.9092570333)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_FC","Free Cholesterol in Large LDL","BC_premeno","0.867(95% CI:0.676-1.112; P=0.2613376837)","0.936(95% CI:0.892-0.982; P=0.0069342812)","1.031(95% CI:0.769-1.383; P=0.8373630874)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_PL","Phospholipids in Large LDL","BC_premeno","0.865(95% CI:0.675-1.108; P=0.2509395266)","0.929(95% CI:0.886-0.974; P=0.0021681513)","0.984(95% CI:0.736-1.316; P=0.9157961983)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_TG","Triglycerides in Large LDL","BC_premeno","0.994(95% CI:0.782-1.262; P=0.9587709771)","0.95(95% CI:0.906-0.997; P=0.0358730216)","0.97(95% CI:0.722-1.304; P=0.8413303993)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_C","Cholesterol in Large VLDL","BC_premeno","0.938(95% CI:0.743-1.185; P=0.5920495946)","0.924(95% CI:0.881-0.969; P=0.0011293958)","0.866(95% CI:0.643-1.167; P=0.3454411504)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","BC_premeno","0.935(95% CI:0.739-1.184; P=0.5775381562)","0.924(95% CI:0.881-0.969; P=0.0012255187)","0.881(95% CI:0.655-1.185; P=0.4011533763)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_FC","Free Cholesterol in Large VLDL","BC_premeno","0.946(95% CI:0.749-1.196; P=0.6435874963)","0.925(95% CI:0.881-0.97; P=0.0014950117)","0.852(95% CI:0.627-1.158; P=0.3062861561)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_PL","Phospholipids in Large VLDL","BC_premeno","0.956(95% CI:0.757-1.206; P=0.7037150609)","0.932(95% CI:0.888-0.978; P=0.0039546659)","0.852(95% CI:0.625-1.16; P=0.3085573689)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_TG","Triglycerides in Large VLDL","BC_premeno","0.943(95% CI:0.748-1.19; P=0.6207078198)","0.933(95% CI:0.889-0.979; P=0.0045713636)","0.848(95% CI:0.621-1.158; P=0.3009841388)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LA","Linoleic Acid","BC_premeno","0.956(95% CI:0.764-1.195; P=0.6902437542)","0.949(95% CI:0.908-0.993; P=0.0231401528)","1.008(95% CI:0.768-1.324; P=0.9538986032)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Lactate","Lactate","BC_premeno","0.922(95% CI:0.738-1.153; P=0.4761677045)","1.053(95% CI:1.007-1.102; P=0.0232031205)","0.945(95% CI:0.713-1.254; P=0.6963254291)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_C","LDL Cholesterol","BC_premeno","0.87(95% CI:0.686-1.103; P=0.2498975546)","0.93(95% CI:0.888-0.974; P=0.0018928887)","0.975(95% CI:0.735-1.294; P=0.8601236491)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_CE","Cholesteryl Esters in LDL","BC_premeno","0.872(95% CI:0.687-1.106; P=0.257682979)","0.926(95% CI:0.885-0.97; P=0.0010712237)","0.961(95% CI:0.724-1.275; P=0.7829047962)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_FC","Free Cholesterol in LDL","BC_premeno","0.856(95% CI:0.67-1.093; P=0.2129540414)","0.935(95% CI:0.892-0.981; P=0.0057646008)","1.002(95% CI:0.749-1.34; P=0.9911854323)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_L","Total Lipids in LDL","BC_premeno","0.874(95% CI:0.69-1.108; P=0.2654843284)","0.93(95% CI:0.889-0.973; P=0.0018159278)","0.972(95% CI:0.733-1.288; P=0.8412635784)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_PL","Phospholipids in LDL","BC_premeno","0.863(95% CI:0.677-1.101; P=0.2357449882)","0.929(95% CI:0.886-0.973; P=0.0018896875)","0.961(95% CI:0.721-1.28; P=0.784200764)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_TG","Triglycerides in LDL","BC_premeno","0.989(95% CI:0.779-1.255; P=0.9283318386)","0.945(95% CI:0.901-0.991; P=0.0208041837)","0.951(95% CI:0.706-1.281; P=0.7392314043)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Leu","Leucine","BC_premeno","0.885(95% CI:0.703-1.115; P=0.3002506665)","0.979(95% CI:0.936-1.024; P=0.3485817139)","0.964(95% CI:0.721-1.288; P=0.8041455808)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_C","Cholesterol in Medium HDL","BC_premeno","1.033(95% CI:0.834-1.28; P=0.767086626)","0.999(95% CI:0.956-1.044; P=0.9633979752)","1.164(95% CI:0.888-1.524; P=0.2712759536)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_CE","Cholesteryl Esters in Medium HDL","BC_premeno","1.032(95% CI:0.832-1.28; P=0.7729307296)","1(95% CI:0.957-1.045; P=0.9937119566)","1.16(95% CI:0.885-1.521; P=0.2827339977)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_FC","Free Cholesterol in Medium HDL","BC_premeno","1.038(95% CI:0.839-1.285; P=0.7291421376)","0.995(95% CI:0.952-1.039; P=0.8202645531)","1.178(95% CI:0.905-1.532; P=0.2236790648)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_PL","Phospholipids in Medium HDL","BC_premeno","1.049(95% CI:0.851-1.292; P=0.6548217974)","0.986(95% CI:0.945-1.029; P=0.5231999628)","1.135(95% CI:0.871-1.478; P=0.3474989163)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
